recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
6414700ca2b49ecb73f91a6d,1,[1],1,[],0.0,0.0,[],set(),{1},8,0.125
6414700ca2b49ecb73f91a6d,2,"[4, 5]",2,[],0.0,0.0,[],set(),"{4, 5}",8,0.25
6414700ca2b49ecb73f91a6d,3,[7],1,[],0.0,0.0,[],set(),{7},8,0.375
6414700ca2b49ecb73f91a6d,4,"[9, 11, 12, 16]",4,[],0.0,0.0,[],set(),"{16, 9, 11, 12}",8,0.5
6414700ca2b49ecb73f91a6d,5,[10],1,[],0.0,0.0,[],set(),{10},8,0.625
6414700ca2b49ecb73f91a6d,6,"[14, 15]",2,[],0.0,0.0,[],set(),"{14, 15}",8,0.75
6414700ca2b49ecb73f91a6d,7,[17],1,[],0.0,0.0,[],set(),{17},8,0.875
6414700ca2b49ecb73f91a6d,8,"[18, 19]",2,[],0.0,0.0,[],set(),"{18, 19}",8,1.0
59974ec21b3d95000121f77c,1,[1],1,[],0.0,0.0,[],set(),{1},8,0.125
59974ec21b3d95000121f77c,2,[6],1,[],0.0,0.0,[],set(),{6},8,0.25
59974ec21b3d95000121f77c,3,"[7, 13]",2,[],0.0,0.0,[],set(),"{13, 7}",8,0.375
59974ec21b3d95000121f77c,4,"[8, 13]",2,[],0.0,0.0,[],set(),"{8, 13}",8,0.5
59974ec21b3d95000121f77c,5,"[9, 11]",2,[],0.0,0.0,[],set(),"{9, 11}",8,0.625
59974ec21b3d95000121f77c,6,"[14, 16]",2,[],0.0,0.0,[],set(),"{16, 14}",8,0.75
59974ec21b3d95000121f77c,7,[17],1,[],0.0,0.0,[],set(),{17},8,0.875
59974ec21b3d95000121f77c,8,"[18, 19]",2,[],0.0,0.0,[],set(),"{18, 19}",8,1.0
60693e637bc58fc13d57b1a7,1,[6],1,[],0.0,0.0,[],set(),{6},19,0.05263157894736842
60693e637bc58fc13d57b1a7,2,"[6, 9]",2,[],0.0,0.0,[],set(),"{9, 6}",19,0.10526315789473684
60693e637bc58fc13d57b1a7,3,[6],1,[],0.0,0.0,[],set(),{6},19,0.15789473684210525
60693e637bc58fc13d57b1a7,4,[6],1,[],0.0,0.0,[],set(),{6},19,0.21052631578947367
60693e637bc58fc13d57b1a7,5,[7],1,[],0.0,0.0,[],set(),{7},19,0.2631578947368421
60693e637bc58fc13d57b1a7,6,[7],1,[],0.0,0.0,[],set(),{7},19,0.3157894736842105
60693e637bc58fc13d57b1a7,7,[8],1,[],0.0,0.0,[],set(),{8},19,0.3684210526315789
60693e637bc58fc13d57b1a7,8,[9],1,[],0.0,0.0,[],set(),{9},19,0.42105263157894735
60693e637bc58fc13d57b1a7,9,[9],1,[],0.0,0.0,[],set(),{9},19,0.47368421052631576
60693e637bc58fc13d57b1a7,10,[10],1,[],0.0,0.0,[],set(),{10},19,0.5263157894736842
60693e637bc58fc13d57b1a7,11,[10],1,[],0.0,0.0,[],set(),{10},19,0.5789473684210527
60693e637bc58fc13d57b1a7,12,[10],1,[],0.0,0.0,[],set(),{10},19,0.631578947368421
60693e637bc58fc13d57b1a7,13,[14],1,[],0.0,0.0,[],set(),{14},19,0.6842105263157895
60693e637bc58fc13d57b1a7,14,[15],1,[],0.0,0.0,[],set(),{15},19,0.7368421052631579
60693e637bc58fc13d57b1a7,15,[16],1,[],0.0,0.0,[],set(),{16},19,0.7894736842105263
60693e637bc58fc13d57b1a7,16,[17],1,[],0.0,0.0,[],set(),{17},19,0.8421052631578947
60693e637bc58fc13d57b1a7,17,[17],1,[],0.0,0.0,[],set(),{17},19,0.8947368421052632
60693e637bc58fc13d57b1a7,18,[18],1,[],0.0,0.0,[],set(),{18},19,0.9473684210526315
60693e637bc58fc13d57b1a7,19,[19],1,[],0.0,0.0,[],set(),{19},19,1.0
5b36b8001d4b680001690d9c,1,[1],1,[],0.0,0.0,[],set(),{1},6,0.16666666666666666
5b36b8001d4b680001690d9c,2,"[2, 5]",2,[],0.0,0.0,[],set(),"{2, 5}",6,0.3333333333333333
5b36b8001d4b680001690d9c,3,"[6, 7, 10, 13]",4,[],0.0,0.0,[],set(),"{10, 13, 6, 7}",6,0.5
5b36b8001d4b680001690d9c,4,[7],1,[],0.0,0.0,[],set(),{7},6,0.6666666666666666
5b36b8001d4b680001690d9c,5,"[14, 15]",2,[],0.0,0.0,[],set(),"{14, 15}",6,0.8333333333333334
5b36b8001d4b680001690d9c,6,[16],1,[],0.0,0.0,[],set(),{16},6,1.0
5be0bf8e292b64000169a165,1,[1],1,[],0.0,0.0,[],set(),{1},21,0.047619047619047616
