recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
5c714e3c21beb1000181bc74,1,"[1, 11, 12]",3,[],0.0,0.0,[],set(),"{1, 11, 12}",5,0.2
5c714e3c21beb1000181bc74,2,"[2, 6]",2,[],0.0,0.0,[],set(),"{2, 6}",5,0.4
5c714e3c21beb1000181bc74,3,"[5, 7]",2,[],0.0,0.0,[],set(),"{5, 7}",5,0.6
5c714e3c21beb1000181bc74,4,[16],1,[],0.0,0.0,[],set(),{16},5,0.8
5c714e3c21beb1000181bc74,5,[15],1,[],0.0,0.0,[],set(),{15},5,1.0
602c64564ad77a557c5cc279,1,"[1, 11, 12]",3,[],0.0,0.0,[],set(),"{1, 11, 12}",8,0.125
602c64564ad77a557c5cc279,2,"[4, 5, 6]",3,[],0.0,0.0,[],set(),"{4, 5, 6}",8,0.25
602c64564ad77a557c5cc279,3,[7],1,[],0.0,0.0,[],set(),{7},8,0.375
602c64564ad77a557c5cc279,4,[12],1,[],0.0,0.0,[],set(),{12},8,0.5
602c64564ad77a557c5cc279,5,"[16, 17]",2,[],0.0,0.0,[],set(),"{16, 17}",8,0.625
602c64564ad77a557c5cc279,6,[14],1,[],0.0,0.0,[],set(),{14},8,0.75
602c64564ad77a557c5cc279,7,[15],1,[],0.0,0.0,[],set(),{15},8,0.875
602c64564ad77a557c5cc279,8,[18],1,[],0.0,0.0,[],set(),{18},8,1.0
5d11dd0790265e00019ba937,1,"[1, 11, 12]",3,[],0.0,0.0,[],set(),"{1, 11, 12}",6,0.16666666666666666
5d11dd0790265e00019ba937,2,[5],1,[],0.0,0.0,[],set(),{5},6,0.3333333333333333
5d11dd0790265e00019ba937,3,[3],1,[],0.0,0.0,[],set(),{3},6,0.5
5d11dd0790265e00019ba937,4,[8],1,[],0.0,0.0,[],set(),{8},6,0.6666666666666666
5d11dd0790265e00019ba937,5,[18],1,[],0.0,0.0,[],set(),{18},6,0.8333333333333334
5d11dd0790265e00019ba937,6,[18],1,[],0.0,0.0,[],set(),{18},6,1.0
5d416bd5af929100194e80e1,1,"[2, 6]",2,[],0.0,0.0,[],set(),"{2, 6}",9,0.1111111111111111
5d416bd5af929100194e80e1,2,[3],1,[],0.0,0.0,[],set(),{3},9,0.2222222222222222
5d416bd5af929100194e80e1,3,[8],1,[],0.0,0.0,[],set(),{8},9,0.3333333333333333
5d416bd5af929100194e80e1,4,[5],1,[],0.0,0.0,[],set(),{5},9,0.4444444444444444
5d416bd5af929100194e80e1,5,"[1, 11, 12]",3,[],0.0,0.0,[],set(),"{1, 11, 12}",9,0.5555555555555556
5d416bd5af929100194e80e1,6,[7],1,[],0.0,0.0,[],set(),{7},9,0.6666666666666666
5d416bd5af929100194e80e1,7,[16],1,[],0.0,0.0,[],set(),{16},9,0.7777777777777778
5d416bd5af929100194e80e1,8,[14],1,[],0.0,0.0,[],set(),{14},9,0.8888888888888888
5d416bd5af929100194e80e1,9,[18],1,[],0.0,0.0,[],set(),{18},9,1.0
